gene_symbol,entrez_id,probe_name
CDH4,1002,A_23_P17593
CDH4,1002,CUST_7378_PI416261804
CDH6,1004,A_23_P214011
CDH8,1006,CUST_1033_PI416261804
CDH8,1006,A_23_P140797
CDH9,1007,CUST_2352_PI416261804
CDH9,1007,A_23_P92999
CDH10,1008,CUST_1039_PI416261804
CDH10,1008,A_23_P144656
CDH11,1009,CUST_14984_PI416261804
CDH11,1009,A_23_P152305
CDH12,1010,A_23_P144847
CDH12,1010,A_32_P10936
CDH13,1012,CUST_150_PI416408490
CDH13,1012,CUST_15176_PI416261804
CDH13,1012,A_32_P85999
CDH15,1013,CUST_11380_PI416261804
CDH15,1013,A_32_P25357
CDH16,1014,CUST_5629_PI416261804
CDH16,1014,A_23_P100240
CDH18,1016,CUST_1954_PI416261804
CDH18,1016,A_23_P84118
CDK2,1017,CUST_14733_PI416261804
CDK2,1017,A_23_P98898
CDK3,1018,CUST_10461_PI416261804
CDK3,1018,A_23_P89155
CDK4,1019,A_23_P24997
CDK5,1020,CUST_15042_PI416261804
CDK5,1020,A_23_P8400
CDK7,1022,CUST_8151_PI416261804
CDK7,1022,A_23_P133585
CDK8,1024,CUST_12054_PI416261804
CDK8,1024,A_23_P139958
CDK9,1025,A_32_P309929
CDK9,1025,A_23_P158083
CDK9,1025,A_23_P169470
CDKN1A,1026,A_24_P89457
CDKN1A,1026,A_23_P59210
CDKN1B,1027,A_23_P204696
CDKN1B,1027,A_24_P81841
CDKN2A,1029,A_23_P43490
CDKN2A,1029,A_23_P43484
CDKN2D,1032,CUST_13324_PI416261804
CDKN2D,1032,A_23_P89941
CDKN3,1033,CUST_7968_PI416261804
CDO1,1036,CUST_10792_PI416261804
CDO1,1036,A_23_P30294
CDR1,1038,A_23_P125495
CDS1,1040,A_24_P938614
CDS1,1040,A_23_P7250
CDSN,1041,A_23_P70520
CDSN,1041,A_23_P350396
CD52,1043,CUST_9098_PI416261804
CD52,1043,A_23_P85800
CDX1,1044,CUST_12163_PI416261804
CDX1,1044,A_23_P58788
CDX2,1045,CUST_15713_PI416261804
CISH,1154,A_23_P144096
TBCB,1155,CUST_5546_PI416261804
TBCB,1155,CUST_11705_PI416261804
TBCB,1155,A_23_P56249
CKM,1158,CUST_15885_PI416261804
CKM,1158,A_23_P50250
CKMT1B,1159,A_23_P163235
ERCC8,1161,CUST_352_PI417507815
ERCC8,1161,A_23_P58521
CKS2,1164,CUST_7595_PI416261804
CKS2,1164,A_23_P71727
AP1S1,1174,A_23_P157404
AP1S1,1174,A_24_P63950
CLC,1178,CUST_7656_PI416261804
CLC,1178,A_23_P101683
CLCN1,1180,CUST_15250_PI416261804
CLCN1,1180,A_23_P59772
CLCN2,1181,CUST_14615_PI416261804
CLCN2,1181,A_23_P132845
CLCN4,1183,CUST_13383_PI416261804
CLCN4,1183,CUST_180_PI416408490
CLCN4,1183,A_23_P217741
CLCN6,1185,CUST_743_PI416573500
CLCN6,1185,CUST_770_PI416379584
CLCN6,1185,CUST_742_PI416573500
CLCN6,1185,CUST_182_PI416408490
CLCN6,1185,A_23_P200361
CLCN6,1185,A_24_P302374
CLCNKB,1188,A_23_P149270
CLCNKB,1188,A_24_P224966
CLIC1,1192,CUST_13589_PI416261804
CLIC1,1192,A_23_P30884
TPP1,1200,CUST_14459_PI416261804
TPP1,1200,A_24_P38815
CLN5,1203,A_24_P270357
CLN5,1203,A_23_P117286
CLNS1A,1207,CUST_10613_PI416261804
CLNS1A,1207,A_23_P127995
CLPS,1208,CUST_6858_PI416261804
CLPS,1208,A_23_P8142
CLPTM1,1209,CUST_10906_PI416261804
CLPTM1,1209,A_23_P50241
CLTB,1212,CUST_9320_PI416261804
CLTB,1212,A_23_P60610
CLTC,1213,CUST_9107_PI416261804
CLTC,1213,A_23_P118544
CMA1,1215,CUST_14261_PI416261804
CMA1,1215,A_23_P151778
CCR1,1230,A_23_P6849
CCR1,1230,A_24_P148717
CCR3,1232,A_24_P367481
CCR4,1233,CUST_12449_PI416261804
CCR4,1233,A_23_P72989
CCR5,1234,CUST_15546_PI416261804
CCR6,1235,CUST_13489_PI416261804
CCR6,1235,CUST_13492_PI416261804
CCR6,1235,A_24_P234921
CCR7,1236,CUST_13329_PI416261804
CCR7,1236,A_23_P343398
CCR8,1237,CUST_12770_PI416261804
CCR8,1237,A_23_P69012
ACKR2,1238,CUST_13516_PI416261804
ACKR2,1238,A_23_P91954
LTB4R,1241,A_23_P121030
LTB4R,1241,A_24_P137461
LTB4R,1241,CUST_14376_PI416261804
ABCC2,1244,A_23_P44569
ABCC2,1244,A_23_P158976
CNGA2,1260,CUST_145_PI416573500
CNGA2,1260,CUST_192_PI416408490
CNGA2,1260,CUST_150_PI416379584
CNN1,1264,A_23_P125233
CNN3,1266,A_23_P138168
CNN3,1266,A_32_P200970
CNR2,1269,CUST_16336_PI416261804
CNR2,1269,A_23_P310931
CNTF,1270,CUST_13107_PI416261804
CNTF,1270,A_23_P36100
CNTN1,1272,CUST_11199_PI416261804
CNTN1,1272,A_23_P390700
COL1A1,1277,CUST_1397_PI416573500
